location_id,date,avg_temp,max_temp,min_temp,prcp
ST80,20191023,17.6,22.5,12.7,0
ST80,20191024,19.3,26,12.6,0
ST80,20191025,23.1,29.3,16.8,0
ST80,20191026,23.8,29.5,18.1,0
ST80,20191027,24.2,28.6,19.8,0.76
ST80,20191028,21.5,26,16.9,10.92
ST80,20191029,18.4,23,13.8,2.03
ST80,20191030,18.3,22.5,14,0
ST80,20191031,18.7,22.5,14.8,0
ST80,20191101,19.5,22.1,16.8,0
ST80,20191102,22.8,27.5,18,2.03
ST80,20191103,20,27.8,12.2,0
ST80,20191104,19.4,22.5,16.3,0
ST80,20191105,18.7,23,14.3,3.05
ST80,20191106,21.9,26,17.8,0
ST80,20191107,24.6,31,18.2,0
ST80,20191108,23.1,31,15.2,0
ST80,20191109,18.4,23,13.8,0.25
ST80,20191110,20.5,23.4,17.5,0
ST80,20191111,20.5,23.1,17.8,0
ST80,20191112,21.9,25,18.8,0
ST80,20191113,23.2,27,19.3,0
ST80,20191114,25.2,30,20.3,0
ST80,20191115,25,30.2,19.8,0
ST80,20191116,22.1,26,18.2,0
ST80,20191117,23.7,29,18.4,4.06
ST80,20191118,26,30.1,21.8,0
ST80,20191119,25.3,30.1,20.4,16
ST80,20191120,27.8,32,23.6,0
ST80,20191121,26.8,32,21.6,0
ST80,20191122,23.5,28.6,18.3,10.16
ST80,20191123,18.6,23.1,14,0
ST80,20191124,20.9,25,16.8,0
ST80,20191125,20.7,24.4,17,0
ST80,20191126,21.2,25,17.4,5.08
ST80,20191127,22.7,28.3,17,0
ST80,20191128,22.7,28.4,17,0
ST80,20191129,24,29.2,18.8,0
ST80,20191130,23.9,29.5,18.3,7.87
ST80,20191201,21.4,28.1,14.6,0
ST80,20191202,20.5,25.1,15.8,0
ST80,20191203,21.5,25,18,0
ST80,20191204,20.9,24.3,17.4,2.03
ST80,20191205,18.6,25,12.2,0
ST80,20191206,21.2,27,15.3,0
ST80,20191207,21.1,26.9,15.3,0
ST80,20191208,23.9,29,18.8,0
ST80,20191209,26.2,31.3,21,0
ST80,20191210,29.5,36.7,22.3,0
ST80,20191211,31.5,37.5,25.5,0
ST80,20191212,27.7,34.3,21,5.08
ST80,20191213,19.6,26.6,12.6,0
ST80,20191214,23.7,28,19.3,0
